pokedex,fecha_captura,lugar,huevo,peso,estatura
58,2019-03-23,Independencia,false,26.7,0.9
58,2019-01-06,Las Condes,true,23.5,0.8
58,2019-02-23,Las Condes,false,25.0,0.7
60,2019-06-01,Las Condes,false,12.7,0.6
60,2019-06-23,La Florida,false,11.6,0.5
61,2019-01-11,El Bosque,false,29.9,1.2
62,2019-02-28,El Bosque,true,55.3,1.4
63,2019-07-19,Huechuraba,false,13.4,0.7
63,2019-06-01,Huechuraba,false,10.1,0.6
66,2019-06-23,Huechuraba,false,20.0,0.9
66,2019-06-28,Independencia,false,24.1,1.0
68,2019-05-15,El Bosque,false,113.1,1.2
68,2019-01-06,Independencia,false,120.5,1.4
68,2019-04-19,Independencia,false,115.7,1.2
68,2019-01-19,Santiago,false,130.4,1.6
70,2019-05-02,Santiago,true,7.1,1.1
71,2019-06-25,Santiago,false,20.4,1.9
71,2019-01-10,San Bernardo,false,14.9,1.6
72,2019-05-31,Estación Central,false,40.1,0.8
72,2019-06-25,San Bernardo,false,32.8,0.6
72,2019-06-01,Santiago,false,45.3,0.9
72,2019-03-21,Santiago,false,42.5,0.9
73,2019-06-01,Independencia,false,60.9,1.8
76,2019-06-01,Independencia,false,305.8,1.4
76,2019-06-25,Maipu,false,320.1,1.6
77,2019-03-16,Maipu,false,40.1,1.1
78,2019-04-30,Santiago,false,124.6,1.7
78,2019-03-14,Independencia,false,140.7,1.9
78,2019-03-07,Las Condes,false,131.4,1.8
79,2019-04-29,Las Condes,false,37.1,1.2
79,2019-02-13,Estación Central,false,40.8,1.3
80,2019-05-29,Lo Barnechea,false,90.1,1.7
80,2019-05-29,El Bosque,false,98.5,1.9
81,2019-02-21,Lo Barnechea,false,5.9,0.4
81,2019-03-22,El Bosque,false,7.1,0.6
81,2019-03-22,Independencia,false,4.9,0.3
84,2019-03-22,Independencia,false,40.9,1.4
84,2019-07-11,El Bosque,false,35.1,1.3
85,2019-04-28,San Miguel,false,85.8,1.8
85,2019-07-18,Macul,false,99.9,2.0
86,2019-05-26,Independencia,false,89.1,1.2
87,2019-07-25,Macul,false,140.1,1.8
88,2019-04-28,Estación Central,false,31.9,0.9
89,2019-07-28,San Bernardo,false,40.5,1.3
90,2019-05-23,Huechuraba,false,6.1,0.3
90,2019-07-30,Macul,false,7.9,0.4
90,2019-05-23,Estación Central,false,18.7,1.0
92,2019-07-31,Santiago,false,0.1,1.3
92,2019-06-28,Santiago,false,0.2,1.4
92,2019-07-11,Quilicura,false,0.1,1.3
93,2019-05-21,Santiago,true,0.1,1.6
94,2019-07-12,Santiago,false,38.9,1.7
95,2019-06-29,Santiago,false,240.8,8.9
96,2019-07-26,Estación Central,false,45.9,1.3
97,2019-03-22,Estación Central,false,80.4,1.7
97,2019-03-22,La Cisterna,false,75.5,1.6
97,2019-07-26,Estación Central,false,71.9,1.4
99,2019-04-26,Estación Central,false,98.5,2.1
99,2019-04-26,Independencia,true,101.1,2.2
100,2019-07-24,Santiago,false,9.1,0.6
100,2019-06-30,Maipu,false,9.5,0.6
101,2019-04-26,Maipu,false,60.1,1.0
101,2019-07-22,Peñalolén,false,66.9,1.2
102,2019-05-18,Macul,false,1.9,0.2
103,2019-07-21,Macul,false,125.9,2.1
103,2019-07-19,Macul,false,120.8,2.0
103,2019-04-22,Independencia,false,117.6,1.9
105,2019-04-22,Santiago,false,44.9,0.9
105,2019-06-30,Estación Central,false,41.7,0.8
105,2019-07-19,Estación Central,false,50.8,1.1
105,2019-03-27,Estación Central,true,45.1,1.0
109,2019-03-27,El Bosque,false,2.1,1.2
111,2019-07-17,El Bosque,false,102.6,0.9
112,2019-05-17,Lo Barnechea,false,130.9,2.0
112,2019-06-30,Lo Barnechea,false,145.7,2.1
113,2019-04-20,Independencia,false,38.8,1.0
114,2019-04-19,Santiago,false,29.8,0.9
114,2019-07-17,San Bernardo,false,35.0,1.1
116,2019-05-14,San Bernardo,false,8.9,0.5
117,2019-07-12,Providencia,false,40.2,1.8
119,2019-07-12,Providencia,false,45.8,1.5
119,2019-03-29,Providencia,false,41.7,1.2
121,2019-07-09,Recoleta,false,87.9,1.1
121,2019-03-29,Providencia,false,79.8,1.0
121,2019-07-09,Providencia,false,80.1,1.0
121,2019-03-31,Vitacura,false,82.5,1.2
123,2019-03-31,Providencia,false,55.8,1.5
123,2019-04-16,Providencia,false,52.0,1.4
123,2019-07-06,Vitacura,false,53.3,1.2
123,2019-07-06,Quinta Normal,false,51.9,1.5
125,2019-01-04,Vitacura,false,45.1,1.5
125,2019-07-21,Vitacura,false,40.2,1.3
126,2019-04-16,Vitacura,false,50.1,1.3
127,2019-05-12,Vitacura,false,62.6,1.7
127,2019-01-04,Santiago,false,66.8,1.8
127,2019-05-12,Santiago,false,56.7,1.2
127,2019-04-16,Quinta Normal,false,52.8,1.1
131,2019-04-13,Santiago,false,252.8,2.8
134,2019-04-10,Santiago,false,24.7,1.0
135,2019-05-09,Independencia,false,22.9,1.1
136,2019-04-10,Santiago,false,24.4,1.0
137,2019-01-03,Macul,false,36.5,0.9
138,2019-03-31,Santiago,false,7.5,0.4
138,2019-03-31,Independencia,false,8.9,0.5
138,2019-05-09,Macul,false,15.5,1.1
139,2019-04-10,Maipu,false,57.3,1.5
140,2019-01-03,San Bernardo,false,15.5,0.6
143,2019-05-04,Maipu,false,460.1,2.3
144,2019-07-13,Independencia,false,55.4,1.7
145,2019-04-06,Santiago,false,52.6,1.6
146,2019-04-06,Estación Central,false,60.0,2.0
147,2019-05-04,Estación Central,false,4.5,2.0
147,2019-07-03,Estación Central,false,3.1,1.8
148,2019-05-01,Providencia,false,18.6,4.1
149,2019-07-01,El Bosque,false,288.9,2.9
149,2019-04-01,Conchali,false,279.5,2.4
149,2019-04-01,Peñalolén,false,290.1,3.0
